# Pokemon Base Experience Values
# Format: pokemon_name,base_exp

abra,73
aerodactyl,202
aipom,94
alakazam,186
ampharos,194
arbok,147
arcanine,213
ariados,134
articuno,215
azumarill,153
bayleef,141
beedrill,159
bellossom,184
bellsprout,84
blastoise,210
blissey,255
bulbasaur,64
butterfree,160
caterpie,53
celebi,64
chansey,255
charizard,209
charmander,65
charmeleon,142
chikorita,64
chinchou,90
clefable,129
clefairy,68
cleffa,37
cloyster,203
corsola,113
crobat,204
croconaw,143
cubone,87
cyndaquil,65
delibird,183
dewgong,176
diglett,81
ditto,61
dodrio,158
doduo,96
donphan,189
dragonair,144
dragonite,218
dratini,67
drowzee,102
dugtrio,153
dunsparce,75
eevee,92
ekans,62
electabuzz,156
electrode,150
elekid,106
entei,217
espeon,197
exeggcute,98
exeggutor,212
farfetch_d,94
fearow,162
feraligatr,210
flaaffy,117
flareon,198
forretress,118
furret,116
gastly,95
gengar,190
geodude,86
girafarig,149
gligar,108
gloom,132
golbat,171
goldeen,111
golduck,174
golem,177
granbull,178
graveler,134
grimer,90
growlithe,91
gyarados,214
haunter,126
heracross,200
hitmonchan,140
hitmonlee,139
hitmontop,138
ho_oh,220
hoothoot,58
hoppip,74
horsea,83
houndoom,204
houndour,114
hypno,165
igglybuff,39
ivysaur,141
jigglypuff,76
jolteon,197
jumpluff,176
jynx,137
kabuto,119
kabutops,201
kadabra,145
kakuna,71
kangaskhan,175
kingdra,207
kingler,206
koffing,114
krabby,115
lanturn,156
lapras,219
larvitar,67
ledian,134
ledyba,54
lickitung,127
lugia,220
machamp,193
machoke,146
machop,88
magby,117
magcargo,154
magikarp,20
magmar,167
magnemite,89
magneton,161
mankey,74
mantine,168
mareep,59
marill,58
marowak,124
meganium,208
meowth,69
metapod,72
mew,64
mewtwo,220
miltank,200
misdreavus,147
moltres,217
mr__mime,136
muk,157
murkrow,107
natu,73
nidoking,195
nidoqueen,194
nidoran_f,59
nidoran_m,60
nidorina,117
nidorino,118
ninetales,178
noctowl,162
octillery,164
oddish,78
omanyte,120
omastar,199
onix,108
paras,70
parasect,128
persian,148
phanpy,124
pichu,42
pidgeot,172
pidgeotto,113
pidgey,55
pikachu,82
piloswine,160
pineco,60
pinsir,200
politoed,185
poliwag,77
poliwhirl,131
poliwrath,185
ponyta,152
porygon,130
porygon2,180
primeape,149
psyduck,80
pupitar,144
quagsire,137
quilava,142
qwilfish,100
raichu,122
raikou,216
rapidash,192
raticate,116
rattata,57
remoraid,78
rhydon,204
rhyhorn,135
sandshrew,93
sandslash,163
scizor,200
scyther,187
seadra,155
seaking,170
seel,100
sentret,57
shellder,97
shuckle,80
skarmory,168
skiploom,136
slowbro,164
slowking,164
slowpoke,99
slugma,78
smeargle,106
smoochum,87
sneasel,132
snorlax,154
snubbull,63
spearow,58
spinarak,54
squirtle,66
stantler,165
starmie,207
staryu,106
steelix,196
sudowoodo,135
suicune,215
sunflora,146
sunkern,52
swinub,78
tangela,166
tauros,211
teddiursa,124
tentacool,105
tentacruel,205
togepi,74
togetic,114
totodile,66
typhlosion,209
tyranitar,218
tyrogue,91
umbreon,197
unown,61
ursaring,189
vaporeon,196
venomoth,138
venonat,75
venusaur,208
victreebel,191
vileplume,184
voltorb,103
vulpix,63
wartortle,143
weedle,52
weepinbell,151
weezing,173
wigglytuff,109
wobbuffet,177
wooper,52
xatu,171
yanma,147
zapdos,216
zubat,54
